Year,Units,Zeitreihe,Value
2005,2005 = 100,Endenergieverbrauch durch Güterbeförderung,100.0
2006,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.383
2007,2005 = 100,Endenergieverbrauch durch Güterbeförderung,107.154
2008,2005 = 100,Endenergieverbrauch durch Güterbeförderung,105.073
2009,2005 = 100,Endenergieverbrauch durch Güterbeförderung,95.201
2010,2005 = 100,Endenergieverbrauch durch Güterbeförderung,98.657
2011,2005 = 100,Endenergieverbrauch durch Güterbeförderung,100.215
2012,2005 = 100,Endenergieverbrauch durch Güterbeförderung,98.273
2013,2005 = 100,Endenergieverbrauch durch Güterbeförderung,99.252
2014,2005 = 100,Endenergieverbrauch durch Güterbeförderung,100.776
2015,2005 = 100,Endenergieverbrauch durch Güterbeförderung,102.18
2016,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.19
2017,2005 = 100,Endenergieverbrauch durch Güterbeförderung,106.591
2018,2005 = 100,Endenergieverbrauch durch Güterbeförderung,108.183
2019,2005 = 100,Endenergieverbrauch durch Güterbeförderung,107.063
2020,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.04
2021,2005 = 100,Endenergieverbrauch durch Güterbeförderung,106.474
2022,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.299
2023,2005 = 100,Endenergieverbrauch durch Güterbeförderung,98.675
2030,2005 = 100,Endenergieverbrauch durch Güterbeförderung,
2005,2005 = 100,Güterbeförderungsleistung,100.0
2006,2005 = 100,Güterbeförderungsleistung,107.457
2007,2005 = 100,Güterbeförderungsleistung,112.232
2008,2005 = 100,Güterbeförderungsleistung,112.914
2009,2005 = 100,Güterbeförderungsleistung,100.475
2010,2005 = 100,Güterbeförderungsleistung,108.179
2011,2005 = 100,Güterbeförderungsleistung,108.284
2012,2005 = 100,Güterbeförderungsleistung,106.515
2013,2005 = 100,Güterbeförderungsleistung,109.191
2014,2005 = 100,Güterbeförderungsleistung,111.07
2015,2005 = 100,Güterbeförderungsleistung,113.689
2016,2005 = 100,Güterbeförderungsleistung,118.247
2017,2005 = 100,Güterbeförderungsleistung,121.114
2018,2005 = 100,Güterbeförderungsleistung,121.413
2019,2005 = 100,Güterbeförderungsleistung,122.005
2020,2005 = 100,Güterbeförderungsleistung,117.416
2021,2005 = 100,Güterbeförderungsleistung,123.27
2022,2005 = 100,Güterbeförderungsleistung,122.665
2023,2005 = 100,Güterbeförderungsleistung,116.618
2030,2005 = 100,Güterbeförderungsleistung,
2005,2005 = 100,Energieverbrauch je Tonnenkilometer,100.0
2006,2005 = 100,Energieverbrauch je Tonnenkilometer,97.139
2007,2005 = 100,Energieverbrauch je Tonnenkilometer,95.475
2008,2005 = 100,Energieverbrauch je Tonnenkilometer,93.056
2009,2005 = 100,Energieverbrauch je Tonnenkilometer,94.751
2010,2005 = 100,Energieverbrauch je Tonnenkilometer,91.198
2011,2005 = 100,Energieverbrauch je Tonnenkilometer,92.548
2012,2005 = 100,Energieverbrauch je Tonnenkilometer,92.263
2013,2005 = 100,Energieverbrauch je Tonnenkilometer,90.898
2014,2005 = 100,Energieverbrauch je Tonnenkilometer,90.732
2015,2005 = 100,Energieverbrauch je Tonnenkilometer,89.877
2016,2005 = 100,Energieverbrauch je Tonnenkilometer,88.113
2017,2005 = 100,Energieverbrauch je Tonnenkilometer,88.008
2018,2005 = 100,Energieverbrauch je Tonnenkilometer,89.103
2019,2005 = 100,Energieverbrauch je Tonnenkilometer,87.753
2020,2005 = 100,Energieverbrauch je Tonnenkilometer,88.608
2021,2005 = 100,Energieverbrauch je Tonnenkilometer,86.374
2022,2005 = 100,Energieverbrauch je Tonnenkilometer,85.028
2023,2005 = 100,Energieverbrauch je Tonnenkilometer,84.614
2030,2005 = 100,Energieverbrauch je Tonnenkilometer,
