Year,Units,Series,Value
2012,,a) Corruption Perception Index in Deutschland,79.0
2013,,a) Corruption Perception Index in Deutschland,78.0
2014,,a) Corruption Perception Index in Deutschland,79.0
2015,,a) Corruption Perception Index in Deutschland,81.0
2016,,a) Corruption Perception Index in Deutschland,81.0
2017,,a) Corruption Perception Index in Deutschland,81.0
2018,,a) Corruption Perception Index in Deutschland,80.0
2019,,a) Corruption Perception Index in Deutschland,80.0
2020,,a) Corruption Perception Index in Deutschland,80.0
2021,,a) Corruption Perception Index in Deutschland,80.0
2022,,a) Corruption Perception Index in Deutschland,79.0
2023,,a) Corruption Perception Index in Deutschland,78.0
2012,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,
2013,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,16.0
2014,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,30.0
2015,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,30.0
2016,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,31.0
2017,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,32.0
2018,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,31.0
2019,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,34.0
2020,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,36.0
2021,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,36.0
2022,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,30.0
2023,Anzahl,b) Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,34.0
