Year,Units,Series,Grad der Umsetzung,Value
2022,Anzahl der Bewertungen,Effectiveness,Solide oder hoch,4.0
2021,Anzahl der Bewertungen,Effectiveness,Solide oder hoch,
2023,Anzahl der Bewertungen,Effectiveness,Solide oder hoch,
2029,Anzahl der Bewertungen,Effectiveness,Solide oder hoch,
2022,Anzahl der Bewertungen,Effectiveness,Gering oder moderat,7.0
2021,Anzahl der Bewertungen,Effectiveness,Gering oder moderat,
2023,Anzahl der Bewertungen,Effectiveness,Gering oder moderat,
2029,Anzahl der Bewertungen,Effectiveness,Gering oder moderat,
2022,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Größtenteils umgesetzt oder umgesetzt,35.0
2021,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Größtenteils umgesetzt oder umgesetzt,
2023,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Größtenteils umgesetzt oder umgesetzt,
2029,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Größtenteils umgesetzt oder umgesetzt,
2022,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Nicht umgesetzt oder teilweise umgesetzt,5.0
2021,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Nicht umgesetzt oder teilweise umgesetzt,
2023,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Nicht umgesetzt oder teilweise umgesetzt,
2029,Anzahl der Bewertungen,<u>Infolinie:</u> Technical Compliance,Nicht umgesetzt oder teilweise umgesetzt,
