Year,Units,Series,Rating,Value
2022,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Substantial or high,4.0
2021,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Substantial or high,
2023,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Substantial or high,
2029,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Substantial or high,
2022,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Low or moderate,7.0
2021,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Low or moderate,
2023,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Low or moderate,
2029,Number of ratings,Financial Action Task Force (FATF) rating effectiveness,Effectiveness = Low or moderate,
2022,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Largely compliant or compliant,35.0
2021,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Largely compliant or compliant,
2023,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Largely compliant or compliant,
2029,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Largely compliant or compliant,
2022,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Non-compliant or partially compliant,5.0
2021,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Non-compliant or partially compliant,
2023,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Non-compliant or partially compliant,
2029,Number of ratings,Financial Action Task Force (FATF) rating technical compliance,Technical compliance = Non-compliant or partially compliant,
