Year,Value,Units,Series
1990,,Kilogram per hectare,Moving five-year average shown for the last year
1991,,Kilogram per hectare,Moving five-year average shown for the last year
1992,,Kilogram per hectare,Moving five-year average shown for the last year
1993,,Kilogram per hectare,Moving five-year average shown for the last year
1994,116.698,Kilogram per hectare,Moving five-year average shown for the last year
1995,111.062,Kilogram per hectare,Moving five-year average shown for the last year
1996,109.15,Kilogram per hectare,Moving five-year average shown for the last year
1997,107.528,Kilogram per hectare,Moving five-year average shown for the last year
1998,107.9,Kilogram per hectare,Moving five-year average shown for the last year
1999,108.84,Kilogram per hectare,Moving five-year average shown for the last year
2000,109.302,Kilogram per hectare,Moving five-year average shown for the last year
2001,108.148,Kilogram per hectare,Moving five-year average shown for the last year
2002,108.544,Kilogram per hectare,Moving five-year average shown for the last year
2003,107.998,Kilogram per hectare,Moving five-year average shown for the last year
2004,105.204,Kilogram per hectare,Moving five-year average shown for the last year
2005,102.638,Kilogram per hectare,Moving five-year average shown for the last year
2006,103.336,Kilogram per hectare,Moving five-year average shown for the last year
2007,102.164,Kilogram per hectare,Moving five-year average shown for the last year
2008,101.68,Kilogram per hectare,Moving five-year average shown for the last year
2009,98.898,Kilogram per hectare,Moving five-year average shown for the last year
2010,96.338,Kilogram per hectare,Moving five-year average shown for the last year
2011,96.468,Kilogram per hectare,Moving five-year average shown for the last year
2012,94.992,Kilogram per hectare,Moving five-year average shown for the last year
2013,93.484,Kilogram per hectare,Moving five-year average shown for the last year
2014,94.234,Kilogram per hectare,Moving five-year average shown for the last year
2015,97.372,Kilogram per hectare,Moving five-year average shown for the last year
2016,96.646,Kilogram per hectare,Moving five-year average shown for the last year
2017,96.854,Kilogram per hectare,Moving five-year average shown for the last year
2018,95.894,Kilogram per hectare,Moving five-year average shown for the last year
2019,94.15,Kilogram per hectare,Moving five-year average shown for the last year
2020,89.384,Kilogram per hectare,Moving five-year average shown for the last year
2021,82.946,Kilogram per hectare,Moving five-year average shown for the last year
2022,76.706,Kilogram per hectare,Moving five-year average shown for the last year
2030,,Kilogram per hectare,Moving five-year average shown for the last year
1990,141.6,Kilogram per hectare,Calculated annual values
1991,117.23,Kilogram per hectare,Calculated annual values
1992,112.2,Kilogram per hectare,Calculated annual values
1993,106.06,Kilogram per hectare,Calculated annual values
1994,106.4,Kilogram per hectare,Calculated annual values
1995,113.42,Kilogram per hectare,Calculated annual values
1996,107.67,Kilogram per hectare,Calculated annual values
1997,104.09,Kilogram per hectare,Calculated annual values
1998,107.92,Kilogram per hectare,Calculated annual values
1999,111.1,Kilogram per hectare,Calculated annual values
2000,115.73,Kilogram per hectare,Calculated annual values
2001,101.9,Kilogram per hectare,Calculated annual values
2002,106.07,Kilogram per hectare,Calculated annual values
2003,105.19,Kilogram per hectare,Calculated annual values
2004,97.13,Kilogram per hectare,Calculated annual values
2005,102.9,Kilogram per hectare,Calculated annual values
2006,105.39,Kilogram per hectare,Calculated annual values
2007,100.21,Kilogram per hectare,Calculated annual values
2008,102.77,Kilogram per hectare,Calculated annual values
2009,83.22,Kilogram per hectare,Calculated annual values
2010,90.1,Kilogram per hectare,Calculated annual values
2011,106.04,Kilogram per hectare,Calculated annual values
2012,92.83,Kilogram per hectare,Calculated annual values
2013,95.23,Kilogram per hectare,Calculated annual values
2014,86.97,Kilogram per hectare,Calculated annual values
2015,105.79,Kilogram per hectare,Calculated annual values
2016,102.41,Kilogram per hectare,Calculated annual values
2017,93.87,Kilogram per hectare,Calculated annual values
2018,90.43,Kilogram per hectare,Calculated annual values
2019,78.25,Kilogram per hectare,Calculated annual values
2020,81.96,Kilogram per hectare,Calculated annual values
2021,70.22,Kilogram per hectare,Calculated annual values
2022,62.67,Kilogram per hectare,Calculated annual values
2030,,Kilogram per hectare,Calculated annual values
