Year,Value,Units,Series
1990,,kilogram per hectare,moving five-year average shown for the last year
1991,,kilogram per hectare,moving five-year average shown for the last year
1992,,kilogram per hectare,moving five-year average shown for the last year
1993,,kilogram per hectare,moving five-year average shown for the last year
1994,116.698,kilogram per hectare,moving five-year average shown for the last year
1995,111.062,kilogram per hectare,moving five-year average shown for the last year
1996,109.15,kilogram per hectare,moving five-year average shown for the last year
1997,107.528,kilogram per hectare,moving five-year average shown for the last year
1998,107.9,kilogram per hectare,moving five-year average shown for the last year
1999,108.84,kilogram per hectare,moving five-year average shown for the last year
2000,109.302,kilogram per hectare,moving five-year average shown for the last year
2001,108.148,kilogram per hectare,moving five-year average shown for the last year
2002,108.544,kilogram per hectare,moving five-year average shown for the last year
2003,107.998,kilogram per hectare,moving five-year average shown for the last year
2004,105.204,kilogram per hectare,moving five-year average shown for the last year
2005,102.638,kilogram per hectare,moving five-year average shown for the last year
2006,103.336,kilogram per hectare,moving five-year average shown for the last year
2007,102.164,kilogram per hectare,moving five-year average shown for the last year
2008,101.68,kilogram per hectare,moving five-year average shown for the last year
2009,98.898,kilogram per hectare,moving five-year average shown for the last year
2010,96.338,kilogram per hectare,moving five-year average shown for the last year
2011,96.468,kilogram per hectare,moving five-year average shown for the last year
2012,94.992,kilogram per hectare,moving five-year average shown for the last year
2013,93.484,kilogram per hectare,moving five-year average shown for the last year
2014,94.234,kilogram per hectare,moving five-year average shown for the last year
2015,97.372,kilogram per hectare,moving five-year average shown for the last year
2016,96.646,kilogram per hectare,moving five-year average shown for the last year
2017,96.854,kilogram per hectare,moving five-year average shown for the last year
2018,95.894,kilogram per hectare,moving five-year average shown for the last year
2019,94.15,kilogram per hectare,moving five-year average shown for the last year
2020,89.384,kilogram per hectare,moving five-year average shown for the last year
2021,82.946,kilogram per hectare,moving five-year average shown for the last year
2022,76.706,kilogram per hectare,moving five-year average shown for the last year
2030,,kilogram per hectare,moving five-year average shown for the last year
1990,141.6,kilogram per hectare,calculated annual values
1991,117.23,kilogram per hectare,calculated annual values
1992,112.2,kilogram per hectare,calculated annual values
1993,106.06,kilogram per hectare,calculated annual values
1994,106.4,kilogram per hectare,calculated annual values
1995,113.42,kilogram per hectare,calculated annual values
1996,107.67,kilogram per hectare,calculated annual values
1997,104.09,kilogram per hectare,calculated annual values
1998,107.92,kilogram per hectare,calculated annual values
1999,111.1,kilogram per hectare,calculated annual values
2000,115.73,kilogram per hectare,calculated annual values
2001,101.9,kilogram per hectare,calculated annual values
2002,106.07,kilogram per hectare,calculated annual values
2003,105.19,kilogram per hectare,calculated annual values
2004,97.13,kilogram per hectare,calculated annual values
2005,102.9,kilogram per hectare,calculated annual values
2006,105.39,kilogram per hectare,calculated annual values
2007,100.21,kilogram per hectare,calculated annual values
2008,102.77,kilogram per hectare,calculated annual values
2009,83.22,kilogram per hectare,calculated annual values
2010,90.1,kilogram per hectare,calculated annual values
2011,106.04,kilogram per hectare,calculated annual values
2012,92.83,kilogram per hectare,calculated annual values
2013,95.23,kilogram per hectare,calculated annual values
2014,86.97,kilogram per hectare,calculated annual values
2015,105.79,kilogram per hectare,calculated annual values
2016,102.41,kilogram per hectare,calculated annual values
2017,93.87,kilogram per hectare,calculated annual values
2018,90.43,kilogram per hectare,calculated annual values
2019,78.25,kilogram per hectare,calculated annual values
2020,81.96,kilogram per hectare,calculated annual values
2021,70.22,kilogram per hectare,calculated annual values
2022,62.67,kilogram per hectare,calculated annual values
2030,,kilogram per hectare,calculated annual values
